S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
3072,Somewhat difficult,26-50%,1,League of Legends,PC,30,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
3073,Somewhat difficult,26-50%,1,World of Warcraft,PC,14,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),UK,UK
3074,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),China,USA
3075,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,improving,Male,21,Student at college / university,Bachelor (or equivalent),France,France
3076,Not difficult at all,1-25%,3,Other,PC,8,I play for fun,having fun,Male,23,Unemployed / between jobs,Bachelor (or equivalent),Australia,Australia
3077,Very difficult,51-75%,1,League of Legends,PC,25,I play for fun,relaxing,Male,24,Unemployed / between jobs,Bachelor (or equivalent),Japan,Indonesia
3078,Not difficult at all,1-25%,4,League of Legends,PC,10,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Portugal,Portugal
3079,Somewhat difficult,26-50%,5,League of Legends,PC,5,I play for fun,relaxing,Female,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
3080,Not difficult at all,1-25%,7,League of Legends,PC,70,I'd like to make a living off of it,winning,Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
3081,Somewhat difficult,26-50%,1,Hearthstone,PC,35,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,22,Student at college / university,High school diploma (or equivalent),Czech Republic,Czech Republic
3082,Somewhat difficult,26-50%,4,League of Legends,PC,30,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
3083,Not difficult at all,1-25%,2,Starcraft 2,PC,5,I play for fun,winning,Male,20,Student at college / university,Bachelor (or equivalent),Norway,Norway
3084,Not difficult at all,1-25%,1,League of Legends,PC,10,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Canada
3085,Extremely difficult,76-100%,4,Heroes of the Storm,PC,18,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Russia,Russia
3086,Not difficult at all,1-25%,7,League of Legends,PC,14,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Spain,Spain
3087,Very difficult,51-75%,1,League of Legends,PC,10,I play for fun,relaxing,Male,27,Employed,High school diploma (or equivalent),Germany,Germany
3088,Not difficult at all,1-25%,6,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Liechtenstein,Liechtenstein
3089,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,25,Student at college / university,Bachelor (or equivalent),Germany,Germany
3090,NA,0,5,League of Legends,PC,8,I play for fun,having fun,Male,27,Employed,Master (or equivalent),Belgium,Belgium
3091,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Finland,Finland
3092,NA,0,6,League of Legends,PC,10,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Canada,Canada
3093,Somewhat difficult,26-50%,1,League of Legends,PC,15,I play for fun,relaxing,Female,23,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
3094,Somewhat difficult,26-50%,3,Other,"Console (PS, Xbox, ...)",2,I play for fun,having fun,Male,37,Employed,Bachelor (or equivalent),USA,USA
3095,Not difficult at all,1-25%,1,League of Legends,PC,22,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),Germany,Germany
3096,Not difficult at all,1-25%,5,League of Legends,PC,20,I play for fun,all above,Male,19,Student at college / university,High school diploma (or equivalent),Bulgaria,Greece
3097,Somewhat difficult,26-50%,2,League of Legends,PC,8,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Belgium,Belgium
3098,Somewhat difficult,26-50%,7,Hearthstone,PC,14,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
3099,Not difficult at all,1-25%,4,League of Legends,PC,25,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
3100,Not difficult at all,1-25%,2,League of Legends,PC,35,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),Canada,Canada
3101,Not difficult at all,1-25%,7,League of Legends,PC,15,I play for fun,having fun,Male,25,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",USA,USA
3102,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,improving,Male,21,Employed,High school diploma (or equivalent),Sweden,Sweden
3103,Somewhat difficult,26-50%,1,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
3104,Extremely difficult,76-100%,2,League of Legends,PC,10,I play for fun,relaxing,Male,21,Student at college / university,High school diploma (or equivalent),Egypt,Germany
3105,Somewhat difficult,26-50%,2,League of Legends,PC,16,I play for fun,winning,Male,22,Employed,High school diploma (or equivalent),Romania,Romania
3106,Somewhat difficult,26-50%,2,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,23,Unemployed / between jobs,High school diploma (or equivalent),Canada,Canada
3107,Somewhat difficult,26-50%,2,League of Legends,PC,10,I play for fun,improving,Female,25,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
3108,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,relaxing,Male,24,Employed,Bachelor (or equivalent),Poland,Poland
3109,Very difficult,51-75%,4,Other,PC,60,I play for fun,having fun,Female,22,Unemployed / between jobs,High school diploma (or equivalent),Bulgaria,Russia
3110,Not difficult at all,1-25%,5,Other,PC,10,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),Norway,Norway
3111,Not difficult at all,1-25%,3,Starcraft 2,PC,14,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,18,Employed,High school diploma (or equivalent),Germany,Germany
3112,Not difficult at all,1-25%,4,League of Legends,PC,10,I play for fun,improving,Male,20,Employed,High school diploma (or equivalent),USA,USA
3113,Not difficult at all,1-25%,3,Other,PC,21,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
3115,Somewhat difficult,26-50%,3,League of Legends,PC,18,I play for fun,fun and relaxing,Male,20,Student at college / university,None,Germany,Germany
3116,Somewhat difficult,26-50%,3,League of Legends,PC,25,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
3117,Somewhat difficult,26-50%,3,League of Legends,PC,2,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Malaysia,Malaysia
3118,NA,0,7,League of Legends,PC,20,I play for fun,Both winning and having fun,Male,19,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
3119,NA,0,4,League of Legends,PC,40,I play for fun,winning,Male,21,Unemployed / between jobs,High school diploma (or equivalent),Finland,Finland
3120,Not difficult at all,1-25%,6,World of Warcraft,PC,14,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Finland,Finland
3121,Extremely difficult,76-100%,2,Other,PC,14,I play for fun,having fun,Male,26,Student at college / university,Bachelor (or equivalent),Netherlands,Netherlands
3122,Very difficult,51-75%,4,League of Legends,PC,20,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Spain,Spain
3123,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play to become pro,improving,Male,19,Student at school,High school diploma (or equivalent),Denmark,Denmark
3124,Not difficult at all,1-25%,2,Other,PC,35,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
3125,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Switzerland,Switzerland
3126,Not difficult at all,1-25%,4,Other,PC,4,I play for fun,having fun,Male,24,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
3127,Very difficult,51-75%,1,League of Legends,PC,50,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),Unknown,USA
3128,Not difficult at all,1-25%,5,League of Legends,PC,13,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Austria,Austria
3129,Somewhat difficult,26-50%,2,Starcraft 2,PC,15,I play for fun,having fun,Male,25,Employed,Bachelor (or equivalent),Canada,Canada
3130,Not difficult at all,1-25%,2,League of Legends,PC,26,I play for fun,having fun,Male,18,Student at school,None,USA,USA
3131,Extremely difficult,76-100%,5,League of Legends,PC,20,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
3132,Not difficult at all,1-25%,5,League of Legends,PC,8,I play for fun,having fun,Male,23,Student at college / university,Bachelor (or equivalent),France,France
3133,Not difficult at all,1-25%,4,League of Legends,PC,16,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),USA,USA
3134,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,winning,Male,23,Employed,High school diploma (or equivalent),USA,USA
3135,Not difficult at all,1-25%,5,League of Legends,PC,35,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,USA
3136,Not difficult at all,1-25%,6,League of Legends,PC,45,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),France,France
3137,Somewhat difficult,26-50%,7,League of Legends,PC,20,I play for fun,having fun,Male,18,Student at school,None,USA,USA
3138,Not difficult at all,1-25%,4,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),USA,USA
3139,Somewhat difficult,26-50%,4,League of Legends,PC,35,I play for fun,improving,Male,22,Student at college / university,Master (or equivalent),France,France
3140,Not difficult at all,1-25%,4,League of Legends,PC,6,I play for fun,"improving, having fun, relaxing",Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
3141,Not difficult at all,1-25%,3,League of Legends,PC,40,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),Bulgaria,Bulgaria
3142,Very difficult,51-75%,1,Other,PC,6,I play for fun,improving,Male,31,Employed,Bachelor (or equivalent),Sweden,Sweden
3143,Somewhat difficult,26-50%,1,League of Legends,PC,10,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Belgium,Belgium
3144,Not difficult at all,1-25%,2,League of Legends,PC,30,I play for fun,having fun,Male,23,Student at college / university,Bachelor (or equivalent),Netherlands,Netherlands
3145,Somewhat difficult,26-50%,3,League of Legends,PC,25,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),USA,USA
3146,Somewhat difficult,26-50%,2,League of Legends,PC,45,I play for fun,having fun but still winning ,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Germany,Germany
3147,Somewhat difficult,26-50%,1,League of Legends,PC,15,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),Peru,USA
3148,Somewhat difficult,26-50%,2,League of Legends,PC,30,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Portugal,UK
3149,Very difficult,51-75%,3,Diablo 3,PC,35,I play for fun,relaxing,Male,21,Unemployed / between jobs,Bachelor (or equivalent),Netherlands,Netherlands
3150,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,None,Norway,Norway
3151,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Spain,Spain
3152,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,improving,Male,25,Student at college / university,Bachelor (or equivalent),Mexico,Mexico
3153,Not difficult at all,1-25%,4,League of Legends,PC,8,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),USA,USA
3154,Somewhat difficult,26-50%,2,League of Legends,PC,40,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
3155,Not difficult at all,1-25%,3,League of Legends,PC,16,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
3156,Not difficult at all,1-25%,6,League of Legends,PC,22,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
3157,Not difficult at all,1-25%,2,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
3158,Extremely difficult,76-100%,3,Heroes of the Storm,PC,20,I play for fun,having fun,Male,25,Student at college / university,High school diploma (or equivalent),Finland,Finland
3159,NA,0,1,League of Legends,PC,20,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),Australia,Australia
3160,Not difficult at all,1-25%,5,League of Legends,PC,14,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Croatia,Croatia
3161,Somewhat difficult,26-50%,2,League of Legends,PC,35,I play for fun,Having fun while winning.,Male,26,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
3163,Somewhat difficult,26-50%,5,League of Legends,PC,50,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),Portugal,Portugal
3164,Somewhat difficult,26-50%,1,League of Legends,PC,21,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Singapore,Singapore
3165,Very difficult,51-75%,1,League of Legends,PC,10,I play for fun,improving,Male,40,Employed,High school diploma (or equivalent),UK,UK
3166,Somewhat difficult,26-50%,6,League of Legends,PC,20,I play for fun,improving,Male,23,Unemployed / between jobs,Bachelor (or equivalent),Brazil,Brazil
3167,Somewhat difficult,26-50%,4,League of Legends,PC,20,I play for fun,improving,Male,26,Employed,Bachelor (or equivalent),USA,USA
3168,Not difficult at all,1-25%,2,League of Legends,PC,30,I play for fun,improving,Male,26,Employed,High school diploma (or equivalent),Brazil,Brazil
3169,Not difficult at all,1-25%,4,Other,PC,30,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Sweden,Unknown
3170,Somewhat difficult,26-50%,6,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),France,France
3171,Very difficult,51-75%,3,League of Legends,PC,45,I play for fun,having fun,Male,23,Student at college / university,Bachelor (or equivalent),UK,UK
3172,Not difficult at all,1-25%,3,World of Warcraft,PC,20,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
3173,Not difficult at all,1-25%,3,League of Legends,PC,14,I play for fun,having fun,Male,18,Student at school,None,Israel,Israel
3174,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
3175,NA,0,1,Other,PC,39,I play for fun,improving,Male,23,Student at school,High school diploma (or equivalent),Unknown,Canada
3176,Not difficult at all,1-25%,3,League of Legends,PC,28,I play for fun,having fun,Male,30,Employed,High school diploma (or equivalent),UK,UK
3177,Not difficult at all,1-25%,3,League of Legends,PC,25,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
3178,Not difficult at all,1-25%,2,League of Legends,PC,10,I play for fun,improving,Male,27,Unemployed / between jobs,Bachelor (or equivalent),Portugal,Sweden
3179,Not difficult at all,1-25%,6,League of Legends,PC,50,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Finland,Finland
3180,Not difficult at all,1-25%,2,League of Legends,PC,50,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),Germany,Germany
3181,Somewhat difficult,26-50%,2,League of Legends,PC,5,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),USA,USA
3182,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Austria,Austria
3183,Somewhat difficult,26-50%,5,Counter Strike,PC,25,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Italy,Italy
3184,Not difficult at all,1-25%,7,League of Legends,PC,3,I play for fun,improving,Male,23,Student at college / university,High school diploma (or equivalent),Estonia,Estonia
3185,Very difficult,51-75%,3,League of Legends,PC,40,I play for fun,winning,Male,18,Student at school,None,Germany,Germany
3186,Very difficult,51-75%,2,League of Legends,PC,30,I play for fun,improving,Female,18,Student at college / university,High school diploma (or equivalent),UK,UK
3187,Not difficult at all,1-25%,3,League of Legends,PC,30,I play for fun,having fun,Male,19,Student at college / university,Bachelor (or equivalent),Brazil,Brazil
3188,Somewhat difficult,26-50%,5,League of Legends,PC,16,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Bangladesh,USA
3189,Not difficult at all,1-25%,6,League of Legends,PC,25,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Australia
3190,Very difficult,51-75%,1,League of Legends,PC,80,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,21,Employed,High school diploma (or equivalent),USA,USA
3191,NA,0,7,League of Legends,PC,15,I play for fun,improving,Male,22,Student at college / university,Bachelor (or equivalent),Belgium,Belgium
3192,Not difficult at all,1-25%,3,League of Legends,PC,25,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),Germany,Germany
3193,Not difficult at all,1-25%,6,League of Legends,PC,7,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Germany,Germany
3194,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,having fun,Male,21,Employed,High school diploma (or equivalent),USA,USA
3195,Somewhat difficult,26-50%,3,League of Legends,PC,30,I play for fun,winning,Male,35,Employed,Bachelor (or equivalent),Sweden,Sweden
3196,Very difficult,51-75%,1,League of Legends,PC,22,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Canada,USA
3197,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,improving,Male,24,Employed,Bachelor (or equivalent),Germany,Germany
3198,Not difficult at all,1-25%,6,League of Legends,PC,25,I play for fun,improving,Male,18,Student at school,None,USA,USA
3199,Somewhat difficult,26-50%,6,Other,PC,30,I play for fun,relaxing,Male,29,Employed,Bachelor (or equivalent),USA,USA
3200,Very difficult,51-75%,1,League of Legends,PC,35,I play for fun,improving,Male,21,Unemployed / between jobs,High school diploma (or equivalent),France,France
3201,Not difficult at all,1-25%,6,League of Legends,PC,21,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
3202,Somewhat difficult,26-50%,7,League of Legends,PC,24,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,19,Student at school,High school diploma (or equivalent),Serbia,Serbia
3203,NA,0,6,League of Legends,PC,15,I play for fun,having fun,Female,21,Student at college / university,High school diploma (or equivalent),UK,UK
3204,Somewhat difficult,26-50%,2,League of Legends,PC,14,I play for fun,improving,Male,30,Employed,Master (or equivalent),Russia,Russia
3205,Not difficult at all,1-25%,5,League of Legends,PC,18,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
3207,Somewhat difficult,26-50%,3,League of Legends,PC,6,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
3209,Somewhat difficult,26-50%,6,League of Legends,PC,50,I play for fun,winning,Male,18,Student at school,None,UK,UK
3210,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
3211,Not difficult at all,1-25%,2,Other,PC,25,I play for fun,relaxing,Male,20,Student at college / university,High school diploma (or equivalent),Poland,Poland
3212,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Portugal,Portugal
3213,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,having fun,Male,24,Student at college / university,High school diploma (or equivalent),USA,USA
3214,Somewhat difficult,26-50%,2,League of Legends,"Console (PS, Xbox, ...)",21,I play for fun,having fun,Male,20,Unemployed / between jobs,None,USA,USA
3215,Not difficult at all,1-25%,2,League of Legends,PC,35,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Iraq,Norway
3216,NA,0,4,League of Legends,PC,20,I play for fun,having fun,Male,25,Employed,High school diploma (or equivalent),USA,USA
3217,Somewhat difficult,26-50%,1,League of Legends,PC,12,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),UK,Argentina
3218,Somewhat difficult,26-50%,1,League of Legends,PC,30,I play for fun,winning,Male,20,Student at college / university,High school diploma (or equivalent),Hungary,UK
3219,Not difficult at all,1-25%,5,League of Legends,PC,7,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),Portugal,Portugal
3220,Not difficult at all,1-25%,5,League of Legends,PC,6,I play for fun,improving,Male,19,Student at school,High school diploma (or equivalent),Canada,Canada
3221,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),Canada,Canada
3222,Not difficult at all,1-25%,3,League of Legends,PC,21,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),France,France
3223,Extremely difficult,76-100%,1,League of Legends,PC,28,I play for fun,improving,Female,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
3224,Somewhat difficult,26-50%,2,League of Legends,PC,15,I play for fun,having fun,Male,21,Unemployed / between jobs,Bachelor (or equivalent),Spain,Spain
3225,Not difficult at all,1-25%,4,League of Legends,PC,28,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),Malaysia,Malaysia
3226,Somewhat difficult,26-50%,7,League of Legends,PC,18,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Germany
3227,Somewhat difficult,26-50%,4,League of Legends,PC,26,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),France,France
3228,Somewhat difficult,26-50%,6,League of Legends,PC,10,I play for fun,having fun,Male,27,Student at college / university,Bachelor (or equivalent),Switzerland,Switzerland
3229,Somewhat difficult,26-50%,1,League of Legends,PC,25,I play for fun,winning and having fun 50/50,Male,18,Student at college / university,Bachelor (or equivalent),UK,UK
3230,Not difficult at all,1-25%,6,League of Legends,PC,15,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
3231,Not difficult at all,1-25%,7,League of Legends,PC,12,I play for fun,having fun,Male,19,Student at school,None,Poland,Poland
3232,Somewhat difficult,26-50%,1,League of Legends,PC,21,I play for fun,improving,Male,24,Unemployed / between jobs,Master (or equivalent),Portugal,Portugal
3233,Somewhat difficult,26-50%,3,League of Legends,PC,80,I play for fun,having fun,Male,19,Student at college / university,None,USA,USA
3234,Very difficult,51-75%,2,League of Legends,PC,7,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),USA,USA
3235,Not difficult at all,1-25%,3,League of Legends,PC,20,I play for fun,winning,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
3236,Not difficult at all,1-25%,2,League of Legends,PC,12,I play for fun,having fun,Male,30,Employed,Bachelor (or equivalent),USA,USA
3237,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,improving,Male,31,Employed,Bachelor (or equivalent),USA,USA
3238,Not difficult at all,1-25%,5,League of Legends,PC,7,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
3239,Somewhat difficult,26-50%,4,Counter Strike,PC,18,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
3240,Not difficult at all,1-25%,5,League of Legends,PC,18,I play for fun,improving,Male,24,Student at college / university,Bachelor (or equivalent),USA,USA
3241,Not difficult at all,1-25%,5,Other,PC,15,I play for fun,having fun,Male,18,Student at school,None,Serbia,Serbia
3242,Not difficult at all,1-25%,2,League of Legends,PC,40,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),Germany,Germany
3243,Not difficult at all,1-25%,2,League of Legends,PC,25,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Germany,Germany
3244,Not difficult at all,1-25%,4,Other,PC,15,I play for fun,winning,Male,27,Employed,Bachelor (or equivalent),Puerto Rico ,Puerto Rico
3245,Not difficult at all,1-25%,3,League of Legends,PC,35,I play for fun,having fun,Male,18,Student at college / university,Bachelor (or equivalent),France,France
3246,Not difficult at all,1-25%,3,League of Legends,PC,50,I play for fun,improving,Male,22,Student at college / university,High school diploma (or equivalent),South Africa,USA
3247,Somewhat difficult,26-50%,6,League of Legends,PC,10,I play for fun,having fun,Male,25,Student at college / university,Bachelor (or equivalent),Turkey,Turkey
3248,Somewhat difficult,26-50%,5,Hearthstone,PC,60,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Bangladesh,Bangladesh
3249,Not difficult at all,1-25%,2,League of Legends,PC,10,I play for fun,improving,Male,29,Unemployed / between jobs,Bachelor (or equivalent),Serbia,Serbia
3250,Not difficult at all,1-25%,4,Heroes of the Storm,PC,40,I play for fun,having fun,Male,25,Employed,High school diploma (or equivalent),USA,USA
3251,Not difficult at all,1-25%,3,League of Legends,PC,40,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),USA,USA
3252,Not difficult at all,1-25%,7,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,21,Employed,Bachelor (or equivalent),USA,USA
3253,Somewhat difficult,26-50%,3,Other,PC,40,I play for fun,having fun,Male,25,Employed,High school diploma (or equivalent),USA,USA
3254,Not difficult at all,1-25%,4,League of Legends,PC,35,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
3255,Not difficult at all,1-25%,1,League of Legends,PC,60,I play for fun,having fun,Male,28,Student at college / university,High school diploma (or equivalent),Ireland,Ireland
3256,Not difficult at all,1-25%,2,League of Legends,PC,7,I play for fun,relaxing,Male,25,Employed,Bachelor (or equivalent),Portugal,Portugal
3257,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,improving,Male,29,Employed,Bachelor (or equivalent),USA,USA
3258,Somewhat difficult,26-50%,3,League of Legends,PC,25,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
3259,Not difficult at all,1-25%,2,League of Legends,PC,NA,I play for fun,winning,Male,18,Employed,High school diploma (or equivalent),Australia,Australia
3260,Not difficult at all,1-25%,4,League of Legends,PC,10,I play for fun,winning,Male,18,Student at school,High school diploma (or equivalent),Vietnam,Vietnam
3261,Not difficult at all,1-25%,6,League of Legends,PC,28,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),Canada,Canada
3262,Somewhat difficult,26-50%,7,League of Legends,PC,10,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Egypt,France
3263,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,None,Czech Republic,Czech Republic
3264,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,having fun,Male,18,Student at school,None,Czech Republic,Czech Republic
3265,Somewhat difficult,26-50%,4,League of Legends,PC,55,In hopes to make money/possible investment within teams,improving,Male,20,Student at college / university,High school diploma (or equivalent),Switzerland,New Zealand 
3266,Extremely difficult,76-100%,2,League of Legends,PC,30,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
3267,Not difficult at all,1-25%,7,Other,"Console (PS, Xbox, ...)",140,I earn a living by playing this game,winning,Female,22,Employed,Bachelor (or equivalent),Russia,France
3268,Not difficult at all,1-25%,6,League of Legends,PC,7,I play for fun,having fun,Male,26,Student at college / university,Bachelor (or equivalent),China,USA
3269,Somewhat difficult,26-50%,1,League of Legends,PC,52,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at college / university,High school diploma (or equivalent),Estonia,Belgium
3270,Somewhat difficult,26-50%,2,League of Legends,PC,18,I play for fun,winning,Male,19,Student at school,High school diploma (or equivalent),Germany,Germany
3271,Somewhat difficult,26-50%,3,Starcraft 2,PC,14,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
